GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000222325.1	298308	N/A	N/A	
GCA_000222345.1	298328	N/A	N/A	
GCA_000222365.1	298298	N/A	N/A	
GCA_000222385.1	298318	N/A	N/A	
GCA_000835945.1	1529828	N/A	N/A	
GCA_001651475.1	3278228	N/A	N/A	
GCA_001742845.1	3466228	N/A	N/A	
GCA_001753755.2	3726828	N/A	N/A	
GCA_020911765.2	36681728	N/A	N/A	
GCA_023115395.1	32955388	N/A	N/A	
GCA_024498435.1	34985688	N/A	N/A	
GCA_024498455.1	34985788	N/A	N/A	
GCA_024498475.1	34985848	N/A	N/A	
GCA_024498495.1	34985938	N/A	N/A	
GCA_024498515.1	34986018	N/A	N/A	
GCA_024498555.1	34986098	N/A	N/A	
GCA_025388435.1	36231188	N/A	N/A	
GCA_028009825.2	49355788	N/A	N/A	
GCA_900243935.1	6279058	N/A	N/A	
GCA_900243945.1	6279038	N/A	N/A	
GCA_900243955.1	6279018	N/A	N/A	
GCA_900303345.1	6276918	N/A	N/A	
GCA_900303355.1	6276938	N/A	N/A	
GCA_900660825.1	8658948	N/A	N/A	
GCA_902460265.3	17728628	N/A	N/A	
GCA_902460275.1	14116188	N/A	N/A	
GCA_902460285.1	14116168	N/A	N/A	
GCA_902460295.1	14116228	N/A	N/A	
GCA_902460305.1	14116208	N/A	N/A	
GCA_902460315.1	14116248	N/A	N/A	
GCA_902651935.1	15607168	N/A	N/A	
GCA_902705455.1	15739478	N/A	N/A	
GCA_902825305.1	19599358	N/A	N/A	
GCA_903064275.1	20352888	N/A	N/A	
GCA_903064285.1	20352808	N/A	N/A	
GCA_903064295.1	20352828	N/A	N/A	
GCA_903064315.1	19717098	N/A	N/A	
GCA_903064325.1	20352868	N/A	N/A	
GCA_904420315.1	22144298	N/A	N/A	
GCA_905067165.1	25806208	N/A	N/A	
GCA_910573875.1	36258628	N/A	N/A	
GCA_910574415.1	36258568	N/A	N/A	
GCA_927323615.1	31066588	N/A	N/A	
GCA_933208065.1	32416748	N/A	N/A	
GCA_933208075.1	32421718	N/A	N/A	
GCA_946402385.1	42613028	N/A	N/A	
GCA_946403025.1	42614528	N/A	N/A	
GCA_946403525.1	42605928	N/A	N/A	
GCA_946404075.1	42611788	N/A	N/A	
GCA_946404385.1	42606348	N/A	N/A	
GCA_946404515.1	42611448	N/A	N/A	
GCA_946404995.1	42613828	N/A	N/A	
GCA_946405265.1	42614788	N/A	N/A	
GCA_946405525.1	42606668	N/A	N/A	
GCA_946405545.1	42613348	N/A	N/A	
GCA_946405725.1	42606228	N/A	N/A	
GCA_946405905.1	42606508	N/A	N/A	
GCA_946406325.1	42614648	N/A	N/A	
GCA_946406525.1	42614968	N/A	N/A	
GCA_946406595.1	42609598	N/A	N/A	
GCA_946406625.1	42614488	N/A	N/A	
GCA_946406735.1	42610068	N/A	N/A	
GCA_946406895.1	42608728	N/A	N/A	
GCA_946406975.1	42610948	N/A	N/A	
GCA_946407145.1	42607388	N/A	N/A	
GCA_946407795.1	42612108	N/A	N/A	
GCA_946408365.1	42609788	N/A	N/A	
GCA_946408575.1	42613388	N/A	N/A	
GCA_946408975.1	42613428	N/A	N/A	
GCA_946409395.1	42614868	N/A	N/A	
GCA_946409815.1	42611288	N/A	N/A	
GCA_946409825.1	42607208	N/A	N/A	
GCA_946410165.1	42614708	N/A	N/A	
GCA_946410485.1	42612788	N/A	N/A	
GCA_946411375.1	42608368	N/A	N/A	
GCA_946411425.1	42613588	N/A	N/A	
GCA_946411655.1	42610398	N/A	N/A	
GCA_946411805.1	42614888	N/A	N/A	
GCA_946411885.1	42608988	N/A	N/A	
GCA_946412005.1	42608048	N/A	N/A	
GCA_946412065.1	42610728	N/A	N/A	
GCA_946412225.1	42614948	N/A	N/A	
GCA_946413285.1	42610268	N/A	N/A	
GCA_946413305.1	42608548	N/A	N/A	
GCA_946413405.1	42612628	N/A	N/A	
GCA_946413935.1	42611188	N/A	N/A	
GCA_946414125.1	42614848	N/A	N/A	
GCA_946414305.1	42607888	N/A	N/A	
GCA_946415005.1	42613548	N/A	N/A	
GCA_946415165.1	42611968	N/A	N/A	
GCA_946415445.1	42607628	N/A	N/A	
GCA_946415625.1	42614828	N/A	N/A	
GCA_946415655.1	42612458	N/A	N/A	
GCA_946499665.1	36657458	N/A	N/A	
GCA_946499705.1	36658108	N/A	N/A	
GCA_949796375.1	42662038	N/A	N/A	
GCA_949796385.1	42662158	N/A	N/A	
GCA_949796415.1	42661998	N/A	N/A	
GCA_949796455.1	42662018	N/A	N/A	
GCA_949796475.1	42661978	N/A	N/A	
GCA_949796485.1	42662078	N/A	N/A	
GCA_949796525.1	42661918	N/A	N/A	
GCA_949796605.1	42661938	N/A	N/A	
GCA_949796635.1	42661898	N/A	N/A	
GCA_949796645.1	42661878	N/A	N/A	
GCA_949796655.1	42662138	N/A	N/A	
GCA_949796665.1	42662118	N/A	N/A	
GCA_949796705.1	42661958	N/A	N/A	
GCA_949796715.1	42662098	N/A	N/A	
GCA_949796755.1	42662058	N/A	N/A	
GCA_000001735.2	6591738	GCF_000001735.4	6591728	
