GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000474035.1	793118	N/A	N/A	
GCA_000826905.1	1488728	N/A	N/A	
GCA_000826925.1	1488748	N/A	N/A	
GCA_000988445.1	1749158	N/A	N/A	
GCA_002237285.1	4894028	N/A	N/A	
GCA_003150815.1	6617958	N/A	N/A	
GCA_003913055.2	32217438	N/A	N/A	
GCA_007998105.1	13196848	N/A	N/A	
GCA_008027975.1	13275728	N/A	N/A	
GCA_008064935.1	13314258	N/A	N/A	
GCA_008064955.1	13314278	N/A	N/A	
GCA_008064975.1	13314298	N/A	N/A	
GCA_008086485.1	13400078	N/A	N/A	
GCA_008086505.1	13400098	N/A	N/A	
GCA_008086525.1	13400118	N/A	N/A	
GCA_008087645.1	13400998	N/A	N/A	
GCA_008383145.1	13720208	N/A	N/A	
GCA_008383225.1	13720228	N/A	N/A	
GCA_008385205.1	13720528	N/A	N/A	
GCA_008385335.1	13720608	N/A	N/A	
GCA_008385405.1	13720708	N/A	N/A	
GCA_008386375.1	13722928	N/A	N/A	
GCA_008386415.1	13722968	N/A	N/A	
GCA_008386435.1	13723008	N/A	N/A	
GCA_008802895.1	14211348	N/A	N/A	
GCA_009002655.1	14439418	N/A	N/A	
GCA_009002845.1	14439648	N/A	N/A	
GCA_009003065.1	14439818	N/A	N/A	
GCA_009762515.1	15641088	N/A	N/A	
GCA_009873415.1	15793458	N/A	N/A	
GCA_009873435.1	15793478	N/A	N/A	
GCA_010231855.1	16343128	N/A	N/A	
GCA_010272415.1	16390578	N/A	N/A	
GCA_010272695.1	16390898	N/A	N/A	
GCA_010272895.1	16391268	N/A	N/A	
GCA_010273135.1	16391478	N/A	N/A	
GCA_010725135.1	16871968	N/A	N/A	
GCA_011068325.1	17374928	N/A	N/A	
GCA_011068385.1	17374988	N/A	N/A	
GCA_011811645.2	45595568	N/A	N/A	
GCA_011843745.2	20253848	N/A	N/A	
GCA_011849985.2	20291888	N/A	N/A	
GCA_011853505.2	30456748	N/A	N/A	
GCA_011853625.2	30456768	N/A	N/A	
GCA_011915165.2	31266658	N/A	N/A	
GCA_012015305.2	30995928	N/A	N/A	
GCA_012060065.2	30995788	N/A	N/A	
GCA_012071365.2	32217498	N/A	N/A	
GCA_012097945.2	26599338	N/A	N/A	
GCA_012098715.2	26599398	N/A	N/A	
GCA_012099675.2	26599278	N/A	N/A	
GCA_012100495.2	26597318	N/A	N/A	
GCA_012100875.2	26598918	N/A	N/A	
GCA_012101175.2	26599358	N/A	N/A	
GCA_012107915.2	26597358	N/A	N/A	
GCA_012108755.2	26599078	N/A	N/A	
GCA_012109035.2	26599418	N/A	N/A	
GCA_012152785.2	30457008	N/A	N/A	
GCA_012184185.2	30456788	N/A	N/A	
GCA_012186145.2	30456828	N/A	N/A	
GCA_012194265.2	30456848	N/A	N/A	
GCA_012211645.2	45523158	N/A	N/A	
GCA_012218465.2	30455768	N/A	N/A	
GCA_012218485.2	30456528	N/A	N/A	
GCA_012218565.2	30456888	N/A	N/A	
GCA_012218625.2	30456808	N/A	N/A	
GCA_012218685.2	30456428	N/A	N/A	
GCA_012219005.2	30455928	N/A	N/A	
GCA_012219025.2	30457028	N/A	N/A	
GCA_012219045.2	30457068	N/A	N/A	
GCA_012219065.2	30456548	N/A	N/A	
GCA_012219085.2	30455548	N/A	N/A	
GCA_012219425.2	30455628	N/A	N/A	
GCA_012219465.2	30456208	N/A	N/A	
GCA_012220125.2	30456068	N/A	N/A	
GCA_012220445.2	30456568	N/A	N/A	
GCA_012220465.2	30456588	N/A	N/A	
GCA_012221765.2	30457048	N/A	N/A	
GCA_012224845.2	38182508	N/A	N/A	
GCA_012242025.2	26575528	N/A	N/A	
GCA_012391955.2	26575448	N/A	N/A	
GCA_012711215.2	38182488	N/A	N/A	
GCA_012849755.1	19270028	N/A	N/A	
GCA_012880295.2	31266678	N/A	N/A	
