GCA_000001735.2	TAIR10
GCA_020911765.2	Col-0-PEK
GCA_023115395.1	Col-CEN
GCA_024498435.1	9470
GCA_024498455.1	9412
GCA_024498475.1	6024
GCA_024498495.1	6021
GCA_024498515.1	5856
GCA_024498555.1	1254
GCA_028009825.1	Col-CC-v1
GCA_028009825.2	Col-CC-v2
GCA_902825305.1	Col-0-MPI-CLR
GCA_903064275.1	Ler-0_
GCA_903064285.1	KBS-Mac-74
GCA_903064295.1	Ty-1
GCA_903064325.1	Kn-0
GCA_904420315.1	Cdm-0
GCA_946402385.1	AUZE-A-5
GCA_946403025.1	FERR-A-8
GCA_946403525.1	BELC-C-10
GCA_946404075.1	ANGE-B-10
GCA_946404385.1	BARA-C-5
GCA_946404515.1	San-9
GCA_946404995.1	BANI-C-1
GCA_946405265.1	Met-6
GCA_946405525.1	FERR-A-12
GCA_946405545.1	Evs-12
GCA_946405725.1	Med-0
GCA_946405905.1	MONTM-B-16
GCA_946406325.1	Alo-0
GCA_946406525.1	Ler-0
GCA_946406595.1	BANI-C-12
GCA_946406625.1	Hom-4
GCA_946406735.1	BARA-C-3
GCA_946406895.1	Rabacal-1
GCA_946406975.1	CAMA-C-2
GCA_946407145.1	BARC-A-17
GCA_946407795.1	Lor-16
GCA_946408365.1	SALE-A-10
GCA_946408575.1	CAMA-C-9
GCA_946408975.1	BELC-C-12
GCA_946409395.1	BROU-A-10
GCA_946409815.1	SALE-A-17
GCA_946409825.1	Tanz-1
GCA_946410165.1	BARC-A-12
GCA_946410485.1	Alo-19
GCA_946411375.1	Cas-0
GCA_946411425.1	Hom-0
GCA_946411655.1	MERE-A-13
GCA_946411805.1	Mos-9
GCA_946411885.1	Mos-5
GCA_946412005.1	Hum-4
GCA_946412065.1	GAIL-B-11
GCA_946412225.1	Mdc-14
GCA_946413285.1	Hum-2
GCA_946413305.1	Med-3
GCA_946413405.1	PREI-A-14
GCA_946413935.1	Sln-22
GCA_946414125.1	Cvi-0
GCA_946414305.1	Cat-0
GCA_946415005.1	ANGE-B-2
GCA_946415165.1	Evs-0
GCA_946415445.1	Cas-6
GCA_946415625.1	MONTM-B-7
GCA_946415655.1	LACR-C-14
GCA_946499665.1	Ey15-2
GCA_946499705.1	Col-0
GCA_949796375.1	Bon-1
GCA_949796385.1	Ini-0
GCA_949796415.1	Etna-2
GCA_949796455.1	Gel-1
GCA_949796475.1	Piq-0
GCA_949796485.1	Tri-0
GCA_949796525.1	HR-10
GCA_949796605.1	Ru-2
GCA_949796635.1	DraIII-1
GCA_949796645.1	T850
GCA_949796655.1	Iasi-1
GCA_949796665.1	Per-0
GCA_949796705.1	11C1
GCA_949796715.1	Bus-0
GCA_949796755.1	Fel-2
