#accession	name	url
GCA_003349995.2	ZH13	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/349/995/GCA_003349995.2_Gmax_ZH13_v2.0/GCA_003349995.2_Gmax_ZH13_v2.0_genomic.fna.gz
GWHACEK00000000	C01	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC01_asm_GWHACEK00000000/GWHACEK00000000.genome.fasta.gz
GWHACEL00000000	C02	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC02_asm_GWHACEL00000000/GWHACEL00000000.genome.fasta.gz
GWHACEM00000000	C03	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC03_asm_GWHACEM00000000/GWHACEM00000000.genome.fasta.gz
GWHACEN00000000	C04	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC04_asm_GWHACEN00000000/GWHACEN00000000.genome.fasta.gz
GWHACEO00000000	C05	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC05_asm_GWHACEO00000000/GWHACEO00000000.genome.fasta.gz
GWHACEP00000000	C06	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC06_asm_GWHACEP00000000/GWHACEP00000000.genome.fasta.gz
GWHACEQ00000000	C07	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC07_asm_GWHACEQ00000000/GWHACEQ00000000.genome.fasta.gz
GWHACER00000000	C08	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC08_asm_GWHACER00000000/GWHACER00000000.genome.fasta.gz
GWHACES00000000	C09	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC09_asm_GWHACES00000000/GWHACES00000000.genome.fasta.gz
GWHACET00000000	C10	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC10_asm_GWHACET00000000/GWHACET00000000.genome.fasta.gz
GWHACEU00000000	C11	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC11_asm_GWHACEU00000000/GWHACEU00000000.genome.fasta.gz
GWHACEV00000000	C12	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC12_asm_GWHACEV00000000/GWHACEV00000000.genome.fasta.gz
GWHACEW00000000	C13	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC13_asm_GWHACEW00000000/GWHACEW00000000.genome.fasta.gz
GWHACEX00000000	C14	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyC14_asm_GWHACEX00000000/GWHACEX00000000.genome.fasta.gz
GWHACEB00000000	L01	ttps://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL01_asm_GWHACEB00000000/GWHACEB00000000.genome.fasta.gz
GWHACEC00000000	L02	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL02_asm_GWHACEC00000000/GWHACEC00000000.genome.fasta.gz
GWHACED00000000	L03	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL03_asm_GWHACED00000000/GWHACED00000000.genome.fasta.gz
GWHACEE00000000	L04	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL04_asm_GWHACEE00000000/GWHACEE00000000.genome.fasta.gz
GWHACEF00000000	L05	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL05_asm_GWHACEF00000000/GWHACEF00000000.genome.fasta.gz
GWHACEG00000000	L06	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL06_asm_GWHACEG00000000/GWHACEG00000000.genome.fasta.gz
GWHACEH00000000	L07	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL07_asm_GWHACEH00000000/GWHACEH00000000.genome.fasta.gz
GWHACEI00000000	L08	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL08_asm_GWHACEI00000000/GWHACEI00000000.genome.fasta.gz
GWHACEJ00000000	L09	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_SoyL09_asm_GWHACEJ00000000/GWHACEJ00000000.genome.fasta.gz
GCF_000004515.5	WM82	https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Glycine_max/all_assembly_versions/GCF_000004515.5_Glycine_max_v2.1/GCF_000004515.5_Glycine_max_v2.1_genomic.fna.gz
GWHACDY00000000	W01	https://download.cncb.ac.cn/gwh/Plants/Glycine_soja_SoyW01_asm_GWHACDY00000000/GWHACDY00000000.genome.fasta.gz
GWHACDZ00000000	W02	https://download.cncb.ac.cn/gwh/Plants/Glycine_soja_SoyW02_asm_GWHACDZ00000000/GWHACDZ00000000.genome.fasta.gz
GWHACEA00000000	W03	https://download.cncb.ac.cn/gwh/Plants/Glycine_soja_SoyW03_asm_GWHACEA00000000/GWHACEA00000000.genome.fasta.gz
GCF_004193775.1	W05	https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Glycine_soja/all_assembly_versions/GCF_004193775.1_ASM419377v2/GCF_004193775.1_ASM419377v2_genomic.fna.gz
GCA_014282035.1	GmWF7	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/035/GCA_014282035.1_WHFS_GmWF7_1.0/GCA_014282035.1_WHFS_GmWF7_1.0_genomic.fna.gz
GCA_014282065.1	GmHF25	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/065/GCA_014282065.1_WHFS_GmHF25_1.0/GCA_014282065.1_WHFS_GmHF25_1.0_genomic.fna.gz
GCA_014282075.1	GmZH35	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/075/GCA_014282075.1_WHFS_GmZH35_1.0/GCA_014282075.1_WHFS_GmZH35_1.0_genomic.fna.gz
GCA_014282085.1	GmZH13	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/085/GCA_014282085.1_WHFS_GmZH13_1.0/GCA_014282085.1_WHFS_GmZH13_1.0_genomic.fna.gz
