#accession	url.annotation
MM	http://solomics.agis.org.cn/tomato/ftp/repeat/MM.repeat.gff3.gz
PP	http://solomics.agis.org.cn/tomato/ftp/repeat/PP.repeat.gff3.gz
TS112	http://solomics.agis.org.cn/tomato/ftp/repeat/TS112.repeat.gff3.gz
TS12	http://solomics.agis.org.cn/tomato/ftp/repeat/TS12.repeat.gff3.gz
TS166	http://solomics.agis.org.cn/tomato/ftp/repeat/TS166.repeat.gff3.gz
TS171	http://solomics.agis.org.cn/tomato/ftp/repeat/TS171.repeat.gff3.gz
TS185	http://solomics.agis.org.cn/tomato/ftp/repeat/TS185.repeat.gff3.gz
TS204	http://solomics.agis.org.cn/tomato/ftp/repeat/TS204.repeat.gff3.gz
TS222	http://solomics.agis.org.cn/tomato/ftp/repeat/TS222.repeat.gff3.gz
TS281	http://solomics.agis.org.cn/tomato/ftp/repeat/TS281.repeat.gff3.gz
TS331	http://solomics.agis.org.cn/tomato/ftp/repeat/TS331.repeat.gff3.gz
TS39	http://solomics.agis.org.cn/tomato/ftp/repeat/TS39.repeat.gff3.gz
TS3	http://solomics.agis.org.cn/tomato/ftp/repeat/TS3.repeat.gff3.gz
TS413	http://solomics.agis.org.cn/tomato/ftp/repeat/TS413.repeat.gff3.gz
TS421	http://solomics.agis.org.cn/tomato/ftp/repeat/TS421.repeat.gff3.gz
TS60	http://solomics.agis.org.cn/tomato/ftp/repeat/TS60.repeat.gff3.gz
TS623	http://solomics.agis.org.cn/tomato/ftp/repeat/TS623.repeat.gff3.gz
TS629	http://solomics.agis.org.cn/tomato/ftp/repeat/TS629.repeat.gff3.gz
TS692	http://solomics.agis.org.cn/tomato/ftp/repeat/TS692.repeat.gff3.gz
TS80	http://solomics.agis.org.cn/tomato/ftp/repeat/TS80.repeat.gff3.gz
TS96	http://solomics.agis.org.cn/tomato/ftp/repeat/TS96.repeat.gff3.gz
TS9	http://solomics.agis.org.cn/tomato/ftp/repeat/TS9.repeat.gff3.gz
SL5	http://solomics.agis.org.cn/tomato/ftp/repeat/SL5.0.repeat.gff3.gz
